month_day,historic_norm_c,sample_count,reference_period,geography,weighting,grid_selection
12-21,4.54,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
12-22,4.48,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
12-23,4.4,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
12-24,4.31,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
12-25,4.25,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
12-26,4.2,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
12-27,4.16,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
12-28,4.09,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
12-29,4.03,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
12-30,3.99,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
12-31,3.94,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
