month_day,historic_norm_c,sample_count,reference_period,geography,weighting,grid_selection
03-22,8.8,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
03-23,8.94,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
03-24,9.04,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
03-25,9.14,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
03-26,9.24,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
03-27,9.33,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
03-28,9.43,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
03-29,9.52,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
03-30,9.62,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
03-31,9.76,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
04-01,9.89,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
04-02,10.02,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
04-03,10.16,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
04-04,10.3,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
04-05,10.42,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
04-06,10.56,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
04-07,10.73,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
04-08,10.85,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
04-09,10.96,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
04-10,11.03,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
04-11,11.13,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
04-12,11.22,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
04-13,11.31,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
04-14,11.41,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
04-15,11.54,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
04-16,11.67,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
04-17,11.79,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
04-18,11.9,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
04-19,12.07,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
04-20,12.27,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
04-21,12.45,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
04-22,12.61,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
04-23,12.76,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
04-24,12.95,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
04-25,13.07,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
04-26,13.19,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
04-27,13.37,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
04-28,13.55,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
04-29,13.73,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
04-30,13.9,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
05-01,14.03,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
05-02,14.17,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
05-03,14.31,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
05-04,14.42,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
05-05,14.54,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
05-06,14.63,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
05-07,14.74,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
05-08,14.83,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
05-09,14.94,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
05-10,15.07,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
05-11,15.23,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
05-12,15.37,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
05-13,15.52,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
05-14,15.66,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
05-15,15.81,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
05-16,15.94,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
05-17,16.06,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
05-18,16.18,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
05-19,16.3,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
05-20,16.42,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
05-21,16.51,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
05-22,16.61,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
05-23,16.69,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
05-24,16.77,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
05-25,16.87,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
05-26,17.01,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
05-27,17.11,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
05-28,17.2,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
05-29,17.31,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
05-30,17.41,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
05-31,17.49,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
06-01,17.54,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
06-02,17.6,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
06-03,17.68,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
06-04,17.75,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
06-05,17.83,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
06-06,17.95,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
06-07,18.04,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
06-08,18.14,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
06-09,18.24,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
06-10,18.34,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
06-11,18.44,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
06-12,18.52,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
06-13,18.57,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
06-14,18.63,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
06-15,18.73,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
06-16,18.81,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
06-17,18.91,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
06-18,18.98,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
06-19,19.06,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
06-20,19.14,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
06-21,19.22,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
06-22,19.31,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
06-23,19.41,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
06-24,19.49,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
06-25,19.54,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
06-26,19.61,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
06-27,19.71,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
06-28,19.77,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
06-29,19.8,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
06-30,19.83,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
07-01,19.87,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
07-02,19.92,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
07-03,19.96,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
07-04,19.99,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
07-05,20.02,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
07-06,20.05,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
07-07,20.1,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
07-08,20.15,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
07-09,20.19,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
07-10,20.22,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
07-11,20.23,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
07-12,20.24,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
07-13,20.31,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
07-14,20.41,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
07-15,20.53,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
