latitude,longitude,weight,selection,normalized_weight
51.25,3.0,0.6259234721840591,grid_centre_inside_belgium,0.01618279378489464
51.25,3.25,0.6259234721840591,grid_centre_inside_belgium,0.01618279378489464
51.25,3.75,0.6259234721840591,grid_centre_inside_belgium,0.01618279378489464
51.25,4.25,0.6259234721840591,grid_centre_inside_belgium,0.01618279378489464
51.25,4.5,0.6259234721840591,grid_centre_inside_belgium,0.01618279378489464
51.25,4.75,0.6259234721840591,grid_centre_inside_belgium,0.01618279378489464
51.25,5.0,0.6259234721840591,grid_centre_inside_belgium,0.01618279378489464
51.25,5.25,0.6259234721840591,grid_centre_inside_belgium,0.01618279378489464
51.25,5.5,0.6259234721840591,grid_centre_inside_belgium,0.01618279378489464
51.0,2.75,0.6293203910498375,grid_centre_inside_belgium,0.016270618638813437
51.0,3.0,0.6293203910498375,grid_centre_inside_belgium,0.016270618638813437
51.0,3.25,0.6293203910498375,grid_centre_inside_belgium,0.016270618638813437
51.0,3.5,0.6293203910498375,grid_centre_inside_belgium,0.016270618638813437
51.0,3.75,0.6293203910498375,grid_centre_inside_belgium,0.016270618638813437
51.0,4.0,0.6293203910498375,grid_centre_inside_belgium,0.016270618638813437
51.0,4.25,0.6293203910498375,grid_centre_inside_belgium,0.016270618638813437
51.0,4.5,0.6293203910498375,grid_centre_inside_belgium,0.016270618638813437
51.0,4.75,0.6293203910498375,grid_centre_inside_belgium,0.016270618638813437
51.0,5.0,0.6293203910498375,grid_centre_inside_belgium,0.016270618638813437
51.0,5.25,0.6293203910498375,grid_centre_inside_belgium,0.016270618638813437
51.0,5.5,0.6293203910498375,grid_centre_inside_belgium,0.016270618638813437
51.0,5.75,0.6293203910498375,grid_centre_inside_belgium,0.016270618638813437
50.75,3.25,0.6327053285625162,grid_centre_inside_belgium,0.01635813372360694
50.75,3.5,0.6327053285625162,grid_centre_inside_belgium,0.01635813372360694
50.75,3.75,0.6327053285625162,grid_centre_inside_belgium,0.01635813372360694
50.75,4.0,0.6327053285625162,grid_centre_inside_belgium,0.01635813372360694
50.75,4.25,0.6327053285625162,grid_centre_inside_belgium,0.01635813372360694
50.75,4.5,0.6327053285625162,grid_centre_inside_belgium,0.01635813372360694
50.75,4.75,0.6327053285625162,grid_centre_inside_belgium,0.01635813372360694
50.75,5.0,0.6327053285625162,grid_centre_inside_belgium,0.01635813372360694
50.75,5.25,0.6327053285625162,grid_centre_inside_belgium,0.01635813372360694
50.75,5.5,0.6327053285625162,grid_centre_inside_belgium,0.01635813372360694
50.75,5.75,0.6327053285625162,grid_centre_inside_belgium,0.01635813372360694
50.75,6.0,0.6327053285625162,grid_centre_inside_belgium,0.01635813372360694
50.5,3.75,0.636078220277764,grid_centre_inside_belgium,0.016445337373114086
50.5,4.0,0.636078220277764,grid_centre_inside_belgium,0.016445337373114086
50.5,4.25,0.636078220277764,grid_centre_inside_belgium,0.016445337373114086
50.5,4.5,0.636078220277764,grid_centre_inside_belgium,0.016445337373114086
50.5,4.75,0.636078220277764,grid_centre_inside_belgium,0.016445337373114086
50.5,5.0,0.636078220277764,grid_centre_inside_belgium,0.016445337373114086
50.5,5.25,0.636078220277764,grid_centre_inside_belgium,0.016445337373114086
50.5,5.5,0.636078220277764,grid_centre_inside_belgium,0.016445337373114086
50.5,5.75,0.636078220277764,grid_centre_inside_belgium,0.016445337373114086
50.5,6.0,0.636078220277764,grid_centre_inside_belgium,0.016445337373114086
50.25,4.25,0.6394390019805847,grid_centre_inside_belgium,0.016532227927103092
50.25,4.5,0.6394390019805847,grid_centre_inside_belgium,0.016532227927103092
50.25,4.75,0.6394390019805847,grid_centre_inside_belgium,0.016532227927103092
50.25,5.0,0.6394390019805847,grid_centre_inside_belgium,0.016532227927103092
50.25,5.25,0.6394390019805847,grid_centre_inside_belgium,0.016532227927103092
50.25,5.5,0.6394390019805847,grid_centre_inside_belgium,0.016532227927103092
50.25,5.75,0.6394390019805847,grid_centre_inside_belgium,0.016532227927103092
50.25,6.0,0.6394390019805847,grid_centre_inside_belgium,0.016532227927103092
50.0,4.25,0.6427876096865394,grid_centre_inside_belgium,0.016618803731303065
50.0,4.5,0.6427876096865394,grid_centre_inside_belgium,0.016618803731303065
50.0,5.0,0.6427876096865394,grid_centre_inside_belgium,0.016618803731303065
50.0,5.25,0.6427876096865394,grid_centre_inside_belgium,0.016618803731303065
50.0,5.5,0.6427876096865394,grid_centre_inside_belgium,0.016618803731303065
50.0,5.75,0.6427876096865394,grid_centre_inside_belgium,0.016618803731303065
49.75,5.25,0.6461239796429639,grid_centre_inside_belgium,0.01670506313743548
49.75,5.5,0.6461239796429639,grid_centre_inside_belgium,0.01670506313743548
49.75,5.75,0.6461239796429639,grid_centre_inside_belgium,0.01670506313743548
